Rok produkcji,Przebieg,Pojemność silnika,Rodzaj paliwa,Cena
2016,95 000 km,2 000 cm3,Diesel,107 000 PLN 
2007,190 186 km,2 393 cm3,Benzyna,27 900 PLN 
2017,87 000 km,2 000 cm3,Diesel,107 000 PLN 
2016,83 000 km,2 000 cm3,Diesel,123 900 PLN 
1996,388 000 km,2 461 cm3,Diesel,12 500 PLN 
2007,215 650 km,1 968 cm3,Diesel,23 500 PLN 
2018,27 500 km,3 000 cm3,Diesel,329 900 PLN 
2015,91 000 km,2 967 cm3,Diesel,219 000 PLN 
2018,8 km,1 968 cm3,Diesel,189 900 PLN 
2018,5 km,1 968 cm3,Diesel,237 500 PLN 
2016,133 444 km,2 000 cm3,Diesel,96 900 PLN 
2017,149 000 km,2 967 cm3,Diesel,118 900 PLN 
2013,188 200 km,2 967 cm3,Diesel,95 000 PLN 
2012,229 000 km,2 000 cm3,Diesel,57 800 PLN 
2015,161 000 km,1 968 cm3,Diesel,99 999 PLN 
2018,5 273 km,1 968 cm3,Diesel,163 700 PLN 
2006,128 000 km,2 000 cm3,Diesel,25 800 PLN 
2012,136 300 km,Diesel,67 650 PLN ,
2016,140 000 km,2 000 cm3,Diesel,116 900 PLN 
2004,241 000 km,2 671 cm3,Benzyna,16 900 PLN 
2002,280 000 km,2 400 cm3,Benzyna,12 999 PLN 
2007,251 700 km,2 698 cm3,Diesel,17 700 PLN 
2002,293 000 km,1 900 cm3,Diesel,15 900 PLN 
2016,128 969 km,2 000 cm3,Diesel,99 630 PLN 
2007,210 000 km,3 000 cm3,Diesel,25 900 PLN 
2014,179 800 km,2 967 cm3,Diesel,83 800 PLN 
2007,205 000 km,3 000 cm3,Diesel,29 900 PLN 
2010,142 000 km,2 967 cm3,Diesel,49 800 PLN 
2011,150 000 km,2 989 cm3,Diesel,73 000 PLN 
2006,315 000 km,3 000 cm3,Diesel,25 900 PLN 
2016,149 000 km,2 968 cm3,Diesel,152 399 PLN 
2006,182 000 km,2 400 cm3,Benzyna,28 990 PLN 
2013,178 000 km,3 000 cm3,Diesel,122 987 PLN 
2016,137 400 km,2 000 cm3,Diesel,121 900 PLN 
2015,179 300 km,3 000 cm3,Diesel,125 900 PLN 
2016,114 941 km,2 000 cm3,Diesel,69 000 PLN 
2016,10 000 km,2 000 cm3,Diesel,112 999 PLN 
2008,258 000 km,2 700 cm3,Diesel,22 900 PLN 
2013,159 999 km,2 967 cm3,Diesel,89 899 PLN 
2018,23 983 km,1 968 cm3,Diesel,169 800 PLN 
2018,26 273 km,2 000 cm3,Diesel,189 900 PLN 
2009,272 000 km,2 967 cm3,Diesel,46 900 PLN 
2005,280 000 km,2 400 cm3,Benzyna,25 700 PLN 
2015,162 100 km,3 000 cm3,Diesel,147 500 PLN 
2015,175 000 km,1 968 cm3,Diesel,79 900 PLN 
2005,272 500 km,2 967 cm3,Diesel,22 999 PLN 
2012,146 000 km,3 000 cm3,Benzyna,79 600 PLN 
2005,282 170 km,2 995 cm3,Diesel,33 500 PLN 
2017,118 000 km,1 968 cm3,Diesel,139 900 PLN 
2005,239 000 km,3 000 cm3,Diesel,22 900 PLN 
2018,26 966 km,2 967 cm3,Diesel,294 900 PLN 
2010,148 000 km,1 968 cm3,Diesel,37 999 PLN 
2012,302 105 km,1 968 cm3,Diesel,52 890 PLN 
2005,196 000 km,2 400 cm3,Benzyna,16 500 PLN 
2015,80 000 km,2 967 cm3,Diesel,148 989 PLN 
2017,37 803 km,1 968 cm3,Diesel,164 900 PLN 
2002,252 000 km,1 800 cm3,Benzyna+LPG,17 800 PLN 
2003,348 000 km,2 500 cm3,Diesel,12 999 PLN 
2012,1 234 567 km,2 000 cm3,Diesel,48 900 PLN 
2013,210 000 km,2 000 cm3,Diesel,59 900 PLN 
2016,119 000 km,1 968 cm3,Diesel,96 999 PLN 
2005,269 000 km,2 400 cm3,Benzyna,25 900 PLN 
2001,227 000 km,1 900 cm3,Diesel,12 900 PLN 
2003,170 000 km,1 800 cm3,Benzyna,14 900 PLN 
2016,88 050 km,1 998 cm3,Benzyna,139 900 PLN 
2018,4 400 km,2 000 cm3,Diesel,240 335 PLN 
2013,196 745 km,2 968 cm3,Diesel,108 855 PLN 
2009,177 600 km,2 000 cm3,Diesel,36 900 PLN 
1999,315 000 km,2 499 cm3,Diesel,4 899 PLN 
2006,261 345 km,2 700 cm3,Diesel,23 900 PLN 
2002,180 000 km,2 400 cm3,Benzyna,14 900 PLN 
2014,147 250 km,1 968 cm3,Diesel,85 500 PLN 
2003,238 104 km,2 500 cm3,Diesel,8 900 PLN 
2015,110 000 km,2 000 cm3,Diesel,119 900 PLN 
2014,162 000 km,2 000 cm3,Diesel,76 500 PLN 
2012,213 000 km,2 000 cm3,Diesel,76 800 PLN 
2005,389 293 km,2 000 cm3,Diesel,19 000 PLN 
2005,228 000 km,3 000 cm3,Diesel,28 900 PLN 
2002,249 000 km,2 400 cm3,Benzyna,14 999 PLN 
2012,114 000 km,1 998 cm3,Diesel,73 900 PLN 
2018,5 000 km,2 000 cm3,Diesel,239 990 PLN 
2014,179 000 km,2 000 cm3,Diesel,69 800 PLN 
2019,10 km,1 968 cm3,Diesel,159 000 PLN 
2014,189 382 km,2 967 cm3,Diesel,109 900 PLN 
2019,1 km,2 967 cm3,Diesel,242 900 PLN 
2010,179 155 km,1 968 cm3,Diesel,36 900 PLN 
2012,196 000 km,2 000 cm3,Diesel,60 800 PLN 
2008,288 000 km,3 000 cm3,Diesel,33 900 PLN 
2017,75 000 km,3 000 cm3,Diesel,126 000 PLN 
2018,12 400 km,2 998 cm3,Diesel,299 900 PLN 
2019,5 000 km,2 967 cm3,Benzyna,299 900 PLN 
2018,22 970 km,2 998 cm3,Diesel,299 950 PLN 
2016,169 000 km,1 968 cm3,Diesel,97 900 PLN 
2006,345 000 km,2 000 cm3,Diesel,19 900 PLN 
2013,198 500 km,3 000 cm3,Diesel,98 500 PLN 
2011,228 997 km,3 000 cm3,Diesel,75 900 PLN 
1998,245 700 km,2 496 cm3,Diesel,6 999 PLN 
2006,248 400 km,3 000 cm3,Diesel,27 999 PLN 
2015,199 000 km,1 968 cm3,Diesel,78 900 PLN 
2012,198 963 km,1 968 cm3,Diesel,66 000 PLN 
2018,18 289 km,1 984 cm3,Benzyna,219 900 PLN 
2016,164 821 km,1 968 cm3,Diesel,99 900 PLN 
2006,316 000 km,4 163 cm3,Benzyna+LPG,38 900 PLN 
