Rok produkcji,Przebieg,Pojemność silnika,Rodzaj paliwa,Cena
2016,146 000 km,1 968 cm3,Diesel,93 999 PLN 
2016,123 000 km,1 968 cm3,Diesel,93 999 PLN 
2016,107 000 km,1 968 cm3,Diesel,94 999 PLN 
2016,186 000 km,1 968 cm3,Diesel,93 999 PLN 
2016,136 000 km,1 968 cm3,Diesel,89 999 PLN 
2016,120 000 km,1 968 cm3,Diesel,94 999 PLN 
2010,189 000 km,1 968 cm3,Diesel,34 700 PLN 
2015,19 876 km,1 968 cm3,Diesel,45 900 PLN 
2014,112 000 km,2 000 cm3,Benzyna,43 500 PLN 
2017,35 000 km,2 000 cm3,Benzyna,63 900 PLN 
2002,204 000 km,1 800 cm3,Benzyna,14 600 PLN 
2018,5 km,1 968 cm3,Diesel,231 089 PLN 
2000,200 000 km,1 700 cm3,Benzyna,9 900 PLN 
2012,409 000 km,2 967 cm3,Diesel,69 990 PLN 
2017,32 452 km,1 968 cm3,Diesel,171 900 PLN 
2009,270 000 km,2 996 cm3,Diesel,38 999 PLN 
2006,271 500 km,2 400 cm3,Benzyna,23 900 PLN 
2016,113 992 km,1 968 cm3,Diesel,114 900 PLN 
2009,191 000 km,2 000 cm3,Diesel,39 900 PLN 
2014,35 000 km,2 000 cm3,Benzyna,102 000 PLN 
2015,97 573 km,2 967 cm3,Diesel,179 500 PLN 
2002,265 820 km,2 496 cm3,Diesel,3 999 PLN 
2013,158 453 km,1 986 cm3,Diesel,74 444 PLN 
2016,154 000 km,2 000 cm3,Diesel,109 999 PLN 
2019,8 km,Diesel,199 999 PLN ,
2018,1 968 cm3,Diesel,231 325 PLN ,
2004,255 000 km,3 000 cm3,Diesel,22 000 PLN 
2014,96 500 km,2 998 cm3,Diesel,139 000 PLN 
2005,138 000 km,2 400 cm3,Benzyna,26 900 PLN 
2013,81 000 km,2 995 cm3,Benzyna,89 000 PLN 
2004,302 000 km,2 400 cm3,Benzyna,24 950 PLN 
2005,343 000 km,2 000 cm3,Diesel,7 900 PLN 
2001,221 000 km,2 700 cm3,Benzyna+LPG,14 500 PLN 
2015,175 000 km,1 968 cm3,Diesel,75 000 PLN 
2009,244 856 km,3 000 cm3,Diesel,33 999 PLN 
2002,288 000 km,1 900 cm3,Diesel,12 500 PLN 
2007,213 000 km,1 968 cm3,Diesel,24 900 PLN 
1997,534 000 km,2 500 cm3,Diesel,6 900 PLN 
2008,184 000 km,2 700 cm3,Diesel,33 500 PLN 
2001,241 200 km,3 000 cm3,Benzyna+LPG,15 600 PLN 
2001,260 000 km,2 486 cm3,Diesel,8 990 PLN 
2000,284 000 km,1 800 cm3,Benzyna+LPG,7 500 PLN 
2016,230 000 km,3 000 cm3,Diesel,83 000 PLN 
2009,308 000 km,2 700 cm3,Diesel,30 000 PLN 
2008,300 000 km,2 967 cm3,Diesel,35 000 PLN 
2015,106 000 km,3 000 cm3,Diesel,99 900 PLN 
2008,229 000 km,2 700 cm3,Diesel,25 999 PLN 
2009,223 098 km,3 000 cm3,Diesel,34 900 PLN 
2014,199 000 km,2 000 cm3,Diesel,65 950 PLN 
2007,350 000 km,2 700 cm3,Diesel,23 500 PLN 
2017,52 000 km,1 968 cm3,Diesel,139 900 PLN 
1999,233 248 km,2 800 cm3,Benzyna,6 200 PLN 
2008,28 000 km,2 700 cm3,Diesel,27 700 PLN 
2000,262 000 km,2 400 cm3,Benzyna,9 700 PLN 
2013,256 000 km,3 000 cm3,Diesel,58 900 PLN 
2015,33 700 km,1 984 cm3,Benzyna,126 900 PLN 
2005,283 000 km,1 968 cm3,Diesel,23 900 PLN 
2007,190 000 km,2 000 cm3,Benzyna,27 000 PLN 
1998,307 750 km,2 400 cm3,Benzyna+LPG,5 800 PLN 
2007,313 000 km,1 968 cm3,Diesel,19 900 PLN 
2008,282 000 km,2 698 cm3,Diesel,28 500 PLN 
2007,218 200 km,1 968 cm3,Diesel,27 899 PLN 
2007,231 000 km,2 967 cm3,Diesel,25 900 PLN 
2012,240 300 km,2 000 cm3,Diesel,77 000 PLN 
2018,7 km,3 000 cm3,Diesel,450 000 PLN 
2005,249 000 km,1 968 cm3,Diesel,17 500 PLN 
1999,240 000 km,Diesel,6 900 PLN ,
2004,319 000 km,2 967 cm3,Diesel,19 900 PLN 
1994,221 000 km,2 300 cm3,Benzyna+LPG,6 500 PLN 
1999,227 000 km,Benzyna,8 900 PLN ,
2006,210 000 km,2 400 cm3,Benzyna+LPG,29 000 PLN 
2005,367 000 km,3 000 cm3,Diesel,26 000 PLN 
2014,189 500 km,3 000 cm3,Diesel,92 000 PLN 
2009,217 000 km,2 700 cm3,Diesel,37 800 PLN 
2002,250 000 km,Benzyna,12 999 PLN ,
2001,225 000 km,2 400 cm3,Benzyna,14 900 PLN 
2009,299 988 km,3 000 cm3,Diesel,29 500 PLN 
2007,217 899 km,2 000 cm3,Diesel,22 900 PLN 
2002,182 145 km,2 400 cm3,Benzyna+LPG,14 999 PLN 
1997,200 000 km,Benzyna,5 000 PLN ,
2002,308 055 km,1 896 cm3,Diesel,10 500 PLN 
2000,286 000 km,2 500 cm3,Diesel,4 000 PLN 
2000,240 000 km,2 700 cm3,Benzyna,9 900 PLN 
1996,375 000 km,2 461 cm3,Diesel,8 200 PLN 
2011,270 000 km,2 800 cm3,Benzyna,69 000 PLN 
2009,218 000 km,2 700 cm3,Diesel,28 900 PLN 
2006,175 000 km,2 967 cm3,Diesel,30 000 PLN 
2002,190 000 km,2 400 cm3,Benzyna+LPG,12 800 PLN 
2006,231 000 km,2 000 cm3,Benzyna,23 900 PLN 
1998,241 000 km,2 393 cm3,Benzyna+LPG,8 900 PLN 
2005,220 000 km,2 700 cm3,Diesel,16 300 PLN 
2003,203 000 km,2 496 cm3,Diesel,17 600 PLN 
2012,224 000 km,3 000 cm3,Diesel,42 000 PLN 
2006,240 000 km,1 984 cm3,Benzyna,17 500 PLN 
2006,300 800 km,3 123 cm3,Benzyna+LPG,32 000 PLN 
2009,114 000 km,2 000 cm3,Diesel,41 000 PLN 
2007,307 800 km,1 968 cm3,Diesel,19 999 PLN 
2005,210 858 km,3 000 cm3,Diesel,29 900 PLN 
2007,279 000 km,2 700 cm3,Diesel,21 900 PLN 
2009,290 300 km,2 700 cm3,Diesel,33 900 PLN 
2005,218 000 km,2 967 cm3,Diesel,22 900 PLN 
2014,185 000 km,2 967 cm3,Diesel,105 800 PLN 
2006,261 000 km,1 968 cm3,Diesel,28 500 PLN 
2003,200 000 km,2 400 cm3,Benzyna,10 900 PLN 
2012,180 000 km,2 000 cm3,Diesel,59 900 PLN 
2014,99 500 km,1 968 cm3,Diesel,15 700 EUR 
1999,306 000 km,2 393 cm3,Benzyna,7 993 PLN 
2004,303 000 km,1 900 cm3,Diesel,10 900 PLN 
2008,256 193 km,2 000 cm3,Diesel,21 000 PLN 
2001,370 000 km,2 498 cm3,Diesel,4 700 PLN 
2000,280 000 km,1 800 cm3,Benzyna+LPG,11 900 PLN 
2015,181 631 km,2 000 cm3,Diesel,92 849 PLN 
2006,204 000 km,2 698 cm3,Diesel,35 000 PLN 
2000,222 350 km,2 700 cm3,Benzyna,18 999 PLN 
2010,182 000 km,2 967 cm3,Diesel,56 900 PLN 
2006,195 000 km,2 967 cm3,Diesel,35 900 PLN 
2003,319 000 km,2 496 cm3,Diesel,8 000 PLN 
2004,353 000 km,2 976 cm3,Diesel,18 900 PLN 
2011,195 818 km,3 000 cm3,Diesel,84 900 PLN 
2014,66 300 km,2 000 cm3,Diesel,82 800 PLN 
2005,300 000 km,3 000 cm3,Diesel,29 500 PLN 
2004,255 000 km,1 900 cm3,Diesel,14 900 PLN 
2005,260 000 km,2 400 cm3,Benzyna,25 900 PLN 
2005,280 000 km,3 000 cm3,Diesel,26 500 PLN 
2007,350 000 km,2 700 cm3,Diesel,26 900 PLN 
2000,258 000 km,2 400 cm3,Benzyna,8 900 PLN 
2009,247 853 km,1 968 cm3,Diesel,33 900 PLN 
2006,232 142 km,1 984 cm3,Benzyna,23 900 PLN 
2001,279 000 km,2 400 cm3,Benzyna,8 900 PLN 
2004,176 800 km,2 400 cm3,Benzyna,12 900 PLN 
2001,360 000 km,1 896 cm3,Diesel,9 900 PLN 
2010,194 000 km,2 000 cm3,Diesel,22 900 PLN 
2016,125 739 km,2 000 cm3,Diesel,119 900 PLN 
2017,9 125 km,1 991 cm3,Diesel,149 900 PLN 
2011,178 000 km,3 000 cm3,Diesel,67 000 PLN 
2009,221 900 km,3 000 cm3,Diesel,44 900 PLN 
2017,6 560 km,2 993 cm3,Diesel,208 000 PLN 
2018,10 km,1 968 cm3,Diesel,240 915 PLN 
2005,164 000 km,3 000 cm3,Diesel,20 999 PLN 
2005,344 000 km,2 967 cm3,Diesel,22 800 PLN 
2006,250 000 km,2 000 cm3,Diesel,21 000 PLN 
2007,234 000 km,2 700 cm3,Diesel,29 900 PLN 
2006,236 436 km,2 400 cm3,Benzyna+LPG,29 900 PLN 
2012,71 060 km,3 000 cm3,Diesel,39 300 PLN 
2009,232 000 km,2 000 cm3,Diesel,31 500 PLN 
2006,334 000 km,2 698 cm3,Diesel,20 900 PLN 
2015,170 000 km,2 967 cm3,Diesel,134 950 PLN 
2017,33 780 km,1 968 cm3,Diesel,179 900 PLN 
2005,202 000 km,2 400 cm3,Benzyna,24 900 PLN 
2005,128 000 km,4 200 cm3,Benzyna,39 999 PLN 
2011,156 000 km,2 967 cm3,Diesel,93 000 PLN 
2006,312 000 km,2 968 cm3,Diesel,26 900 PLN 
1999,197 000 km,2 771 cm3,Benzyna,10 999 PLN 
2011,191 000 km,2 000 cm3,Diesel,34 800 PLN 
2003,213 600 km,1 896 cm3,Diesel,15 900 PLN 
2011,289 000 km,2 000 cm3,Diesel,59 800 PLN 
2017,40 329 km,2 967 cm3,Diesel,182 330 PLN 
2017,63 900 km,3 000 cm3,Diesel,184 900 PLN 
2015,70 650 km,2 000 cm3,Diesel,139 900 PLN 
2017,38 649 km,1 968 cm3,Diesel,135 999 PLN 
2014,154 179 km,1 968 cm3,Diesel,75 900 PLN 
2013,164 000 km,3 000 cm3,Diesel,69 900 PLN 
1999,380 000 km,2 393 cm3,Benzyna+LPG,5 500 PLN 
2012,145 000 km,Diesel,59 000 PLN ,
1999,237 000 km,2 393 cm3,Benzyna,8 900 PLN 
2006,328 654 km,2 700 cm3,Diesel,26 900 PLN 
2001,166 000 km,1 800 cm3,Benzyna,12 900 PLN 
2006,288 000 km,2 700 cm3,Diesel,22 999 PLN 
2019,5 km,1 968 cm3,Diesel,258 202 PLN 
2015,136 453 km,3 000 cm3,Diesel,129 900 PLN 
2007,255 000 km,2 000 cm3,Diesel,23 900 PLN 
2018,1 km,1 968 cm3,Diesel,196 000 PLN 
2018,10 km,1 968 cm3,Diesel,183 000 PLN 
2019,1 km,1 984 cm3,Benzyna,179 585 PLN 
2015,140 945 km,1 968 cm3,Diesel,117 900 PLN 
2004,280 000 km,2 400 cm3,Benzyna+LPG,21 000 PLN 
2000,400 000 km,2 496 cm3,Diesel,5 850 PLN 
2006,292 000 km,2 700 cm3,Diesel,21 900 PLN 
2002,306 000 km,2 400 cm3,Benzyna,11 500 PLN 
2005,311 896 km,2 967 cm3,Diesel,23 000 PLN 
2019,10 km,1 984 cm3,Benzyna,235 561 PLN 
2014,142 000 km,1 968 cm3,Diesel,72 800 PLN 
2011,218 500 km,2 698 cm3,Diesel,36 999 PLN 
2006,168 400 km,1 984 cm3,Benzyna,21 200 PLN 
2012,167 000 km,1 984 cm3,Benzyna,79 950 PLN 
2006,232 000 km,3 000 cm3,Diesel,27 900 PLN 
2002,256 062 km,2 400 cm3,Benzyna,10 900 PLN 
2012,165 000 km,3 000 cm3,Benzyna,89 900 PLN 
2011,153 000 km,1 968 cm3,Diesel,41 500 PLN 
2015,150 479 km,2 000 cm3,Diesel,96 900 PLN 
2016,109 540 km,3 000 cm3,Diesel,178 700 PLN 
2013,213 000 km,2 000 cm3,Diesel,52 999 PLN 
2012,91 100 km,2 000 cm3,Hybryda,79 827 PLN 
2008,280 000 km,2 700 cm3,Diesel,25 900 PLN 
2004,381 000 km,4 200 cm3,Benzyna+LPG,25 000 PLN 
2007,285 000 km,3 000 cm3,Diesel,27 900 PLN 
2002,226 000 km,1 900 cm3,Diesel,13 500 PLN 
2011,157 000 km,3 000 cm3,Diesel,44 900 PLN 
2003,275 000 km,2 400 cm3,Benzyna,6 900 PLN 
2002,227 000 km,1 900 cm3,Diesel,14 900 PLN 
2004,161 324 km,2 400 cm3,Benzyna,23 700 PLN 
2004,172 000 km,2 967 cm3,Diesel,20 900 PLN 
2018,15 000 km,3 000 cm3,Benzyna,364 000 PLN 
2013,235 720 km,3 000 cm3,Diesel,85 900 PLN 
2019,5 km,1 984 cm3,Benzyna,276 266 PLN 
2012,200 000 km,3 000 cm3,Diesel,75 900 PLN 
2007,258 888 km,2 800 cm3,Benzyna,22 900 PLN 
2007,283 040 km,3 000 cm3,Diesel,28 123 PLN 
2017,10 km,1 968 cm3,Diesel,189 900 PLN 
2011,220 365 km,3 000 cm3,Diesel,69 900 PLN 
2015,141 894 km,2 967 cm3,Diesel,138 752 PLN 
2018,8 km,1 968 cm3,Diesel,189 900 PLN 
2002,268 000 km,1 900 cm3,Diesel,13 400 PLN 
2018,14 000 km,2 000 cm3,Diesel,139 900 PLN 
2018,19 346 km,1 968 cm3,Diesel,199 961 PLN 
2006,268 000 km,2 700 cm3,Diesel,22 900 PLN 
2005,289 000 km,3 000 cm3,Diesel,13 900 PLN 
2004,234 000 km,3 000 cm3,Diesel,23 999 PLN 
2012,164 400 km,1 986 cm3,Benzyna,75 000 PLN 
2012,238 600 km,3 000 cm3,Diesel,79 500 PLN 
2012,203 050 km,2 000 cm3,Diesel,56 900 PLN 
2006,192 300 km,1 999 cm3,Benzyna,23 900 PLN 
2008,261 000 km,3 000 cm3,Diesel,29 900 PLN 
2013,200 000 km,Diesel,98 000 PLN ,
2014,176 590 km,2 000 cm3,Diesel,67 900 PLN 
2016,39 030 km,2 000 cm3,Diesel,129 700 PLN 
2016,169 886 km,1 989 cm3,Diesel,111 000 PLN 
2006,273 000 km,2 700 cm3,Diesel,17 900 PLN 
2003,175 000 km,1 896 cm3,Diesel,10 900 PLN 
2003,261 000 km,2 500 cm3,Diesel,8 000 PLN 
2015,130 590 km,1 798 cm3,Benzyna,110 900 PLN 
2016,37 500 km,3 000 cm3,Diesel,165 000 PLN 
2012,220 000 km,1 998 cm3,Diesel,53 900 PLN 
2018,11 694 km,2 986 cm3,Diesel,344 900 PLN 
2015,114 000 km,1 968 cm3,Diesel,96 600 PLN 
2016,143 546 km,1 997 cm3,Diesel,92 000 PLN 
2017,176 628 km,1 968 cm3,Diesel,93 900 PLN 
2010,214 000 km,1 968 cm3,Diesel,42 400 PLN 
2013,150 600 km,2 000 cm3,Diesel,66 000 PLN 
2015,173 546 km,1 969 cm3,Diesel,78 300 PLN 
2000,245 845 km,1 781 cm3,Benzyna,10 900 PLN 
2011,375 000 km,3 000 cm3,Diesel,52 767 PLN 
2011,190 204 km,1 968 cm3,Diesel,36 500 PLN 
2019,3 500 km,2 000 cm3,Diesel,277 900 PLN 
2006,261 000 km,2 698 cm3,Diesel,23 900 PLN 
2000,253 350 km,4 200 cm3,Benzyna,28 900 PLN 
2015,144 725 km,2 997 cm3,Diesel,127 900 PLN 
2006,272 000 km,3 000 cm3,Diesel,35 900 PLN 
2009,259 000 km,2 698 cm3,Diesel,37 999 PLN 
2007,158 152 km,2 000 cm3,Diesel,29 900 PLN 
1999,204 481 km,1 800 cm3,Benzyna,10 500 PLN 
2011,141 492 km,3 000 cm3,Benzyna,85 000 PLN 
2012,198 000 km,2 000 cm3,Diesel,80 000 PLN 
2015,72 000 km,1 968 cm3,Diesel,115 000 PLN 
2012,130 000 km,2 967 cm3,Diesel,38 000 PLN 
2009,154 500 km,3 000 cm3,Diesel,30 500 PLN 
2006,195 885 km,2 998 cm3,Diesel,31 900 PLN 
2018,1 km,2 000 cm3,Diesel,189 900 PLN 
1996,203 900 km,2 461 cm3,Diesel,12 500 PLN 
2009,228 000 km,2 700 cm3,Diesel,40 600 PLN 
2015,122 500 km,2 000 cm3,Diesel,103 000 PLN 
2005,191 000 km,2 995 cm3,Diesel,4 100 EUR 
2017,25 312 km,1 968 cm3,Diesel,137 900 PLN 
2004,272 000 km,3 000 cm3,Diesel,20 900 PLN 
2005,218 000 km,2 967 cm3,Diesel,26 500 PLN 
2015,112 911 km,2 997 cm3,Diesel,124 900 PLN 
2018,10 km,2 000 cm3,Diesel,250 000 PLN 
2005,272 000 km,3 200 cm3,Benzyna,18 900 PLN 
1998,322 000 km,2 393 cm3,Benzyna,9 500 PLN 
2006,182 000 km,2 400 cm3,Benzyna,28 900 PLN 
2012,145 546 km,3 000 cm3,Diesel,61 377 PLN 
2013,119 000 km,2 997 cm3,Diesel,89 900 PLN 
2001,280 000 km,2 500 cm3,Diesel,4 900 PLN 
2012,184 000 km,1 968 cm3,Diesel,52 000 PLN 
2006,266 000 km,Benzyna+LPG,29 900 PLN ,
2012,224 000 km,2 000 cm3,Diesel,58 999 PLN 
2001,240 000 km,1 800 cm3,Benzyna,10 900 PLN 
2005,242 000 km,3 000 cm3,Diesel,19 999 PLN 
2016,15 500 km,1 984 cm3,Benzyna,119 900 PLN 
2006,204 000 km,2 967 cm3,Diesel,17 500 PLN 
2008,156 000 km,2 000 cm3,Diesel,26 900 PLN 
2017,34 400 km,2 000 cm3,Benzyna,96 000 PLN 
2011,222 000 km,3 000 cm3,Diesel,72 900 PLN 
2005,245 000 km,2 393 cm3,Benzyna,19 500 PLN 
2015,159 000 km,2 000 cm3,Diesel,92 999 PLN 
2016,164 000 km,1 968 cm3,Diesel,89 999 PLN 
1998,230 000 km,2 400 cm3,Benzyna+LPG,8 500 PLN 
2013,130 000 km,1 968 cm3,Diesel,79 900 PLN 
2008,160 000 km,2 698 cm3,Diesel,22 500 PLN 
2013,169 000 km,1 968 cm3,Diesel,62 900 PLN 
2005,258 130 km,2 000 cm3,Diesel,19 900 PLN 
2014,195 000 km,3 000 cm3,Benzyna,88 560 PLN 
2015,91 000 km,3 000 cm3,Diesel,73 900 PLN 
2019,1 km,1 968 cm3,Diesel,110 655 PLN 
2019,1 km,1 968 cm3,Diesel,92 943 PLN 
2016,114 373 km,2 967 cm3,Diesel,196 500 PLN 
2019,1 968 cm3,Diesel,294 290 PLN ,
2000,278 200 km,2 496 cm3,Diesel,4 800 PLN 
2013,214 000 km,3 000 cm3,Diesel,73 000 PLN 
2014,130 000 km,1 996 cm3,Diesel,36 700 PLN 
2018,15 km,1 968 cm3,Diesel,199 900 PLN 
2005,225 325 km,Diesel,8 900 PLN ,
2012,164 500 km,2 999 cm3,Diesel,69 500 PLN 
2015,207 000 km,2 967 cm3,Diesel,119 900 PLN 
2003,290 000 km,2 400 cm3,Benzyna,12 800 PLN 
2019,1 968 cm3,Diesel,286 090 PLN ,
2019,1 984 cm3,Benzyna,294 224 PLN ,
2016,198 000 km,3 000 cm3,Diesel,89 300 PLN 
2019,1 984 cm3,Benzyna,294 224 PLN ,
2019,2 967 cm3,Diesel,402 226 PLN ,
2019,1 968 cm3,Diesel,285 540 PLN ,
2019,Diesel,256 061 PLN ,,
2019,1 968 cm3,Diesel,285 089 PLN ,
2019,1 968 cm3,Diesel,262 914 PLN ,
2019,1 968 cm3,Diesel,239 251 PLN ,
2018,10 km,Diesel,216 631 PLN ,
2018,10 km,Diesel,217 854 PLN ,
2018,10 km,2 967 cm3,Diesel,339 744 PLN 
2018,10 km,2 967 cm3,Diesel,298 470 PLN 
2018,10 km,Diesel,295 624 PLN ,
2018,10 km,Diesel,296 751 PLN ,
2008,220 000 km,2 700 cm3,Diesel,27 800 PLN 
2016,112 000 km,3 000 cm3,Diesel,179 989 PLN 
2008,210 000 km,3 200 cm3,Benzyna,29 900 PLN 
2015,30 300 km,1 995 cm3,Benzyna,135 000 PLN 
2008,266 000 km,2 698 cm3,Diesel,27 900 PLN 
2007,241 500 km,1 991 cm3,Benzyna,23 500 PLN 
2018,1 968 cm3,Diesel,246 000 PLN ,
2007,238 000 km,2 700 cm3,Diesel,20 900 PLN 
1999,276 000 km,2 400 cm3,Benzyna,4 990 PLN 
2009,218 000 km,1 986 cm3,Diesel,33 900 PLN 
2003,226 000 km,1 900 cm3,Diesel,13 900 PLN 
2011,248 333 km,3 000 cm3,Diesel,56 400 PLN 
2014,182 000 km,2 000 cm3,Diesel,68 900 PLN 
2001,419 000 km,Diesel,5 200 PLN ,
2007,262 000 km,2 700 cm3,Diesel,27 999 PLN 
2015,139 000 km,2 967 cm3,Diesel,155 964 PLN 
2008,354 000 km,2 800 cm3,Benzyna,29 950 PLN 
2011,197 000 km,2 000 cm3,Diesel,37 900 PLN 
2014,211 000 km,2 000 cm3,Diesel,69 900 PLN 
2018,Diesel,340 830 PLN ,,
2007,286 000 km,3 199 cm3,Benzyna,24 500 PLN 
2018,Diesel,205 967 PLN ,,
2005,298 365 km,Diesel,22 222 PLN ,
2018,Diesel,209 309 PLN ,,
2000,289 000 km,2 496 cm3,Diesel,4 300 PLN 
2005,381 000 km,2 967 cm3,Diesel,29 500 PLN 
2015,89 000 km,1 968 cm3,Diesel,12 500 EUR 
2007,401 000 km,2 967 cm3,Diesel,20 500 PLN 
2017,18 000 km,2 967 cm3,Diesel,285 000 PLN 
2008,207 100 km,2 997 cm3,Diesel,31 900 PLN 
2012,107 800 km,2 000 cm3,Diesel,74 000 PLN 
2015,72 185 km,2 000 cm3,Diesel,119 900 PLN 
2006,469 000 km,2 967 cm3,Diesel,17 999 PLN 
2008,255 000 km,2 967 cm3,Diesel,36 900 PLN 
2006,260 000 km,1 968 cm3,Diesel,19 999 PLN 
2006,398 000 km,2 700 cm3,Diesel,21 900 PLN 
2001,300 000 km,2 400 cm3,Benzyna,4 550 PLN 
1999,231 465 km,4 172 cm3,Benzyna+LPG,21 000 PLN 
2007,230 000 km,2 000 cm3,Diesel,22 999 PLN 
2003,173 000 km,2 000 cm3,Benzyna,13 999 PLN 
2008,263 489 km,2 000 cm3,Diesel,26 400 PLN 
2003,190 000 km,1 800 cm3,Benzyna,13 900 PLN 
2002,180 213 km,1 968 cm3,Benzyna,13 400 PLN 
2010,268 000 km,2 000 cm3,Diesel,29 900 PLN 
2018,Diesel,215 168 PLN ,,
2019,5 km,1 984 cm3,Benzyna,267 222 PLN 
2018,Diesel,257 808 PLN ,,
2018,15 600 km,2 967 cm3,Diesel,324 900 PLN 
2006,263 000 km,1 968 cm3,Diesel,24 000 PLN 
2004,279 000 km,2 393 cm3,Benzyna,20 900 PLN 
2005,180 667 km,2 967 cm3,Diesel,27 900 PLN 
2007,293 019 km,2 967 cm3,Diesel,26 500 PLN 
2016,123 000 km,1 999 cm3,Diesel,84 000 PLN 
2019,1 km,1 984 cm3,Benzyna,217 095 PLN 
2019,5 km,1 968 cm3,Diesel,234 299 PLN 
2007,198 000 km,1 968 cm3,Diesel,27 990 PLN 
2007,299 000 km,1 968 cm3,Diesel,22 000 PLN 
2010,283 000 km,2 698 cm3,Diesel,48 000 PLN 
2007,244 123 km,2 000 cm3,Diesel,25 900 PLN 
1998,229 912 km,1 800 cm3,Benzyna,7 500 PLN 
2009,258 000 km,2 700 cm3,Diesel,31 500 PLN 
2008,150 000 km,2 000 cm3,Diesel,28 900 PLN 
2010,320 000 km,3 000 cm3,Benzyna,41 800 PLN 
2006,330 000 km,2 700 cm3,Diesel,10 500 PLN 
2004,508 000 km,2 500 cm3,Diesel,8 600 PLN 
2004,335 000 km,4 163 cm3,Benzyna+LPG,25 500 PLN 
2008,196 000 km,2 398 cm3,Benzyna+LPG,29 900 PLN 
2012,104 000 km,2 000 cm3,Benzyna,52 000 PLN 
2010,196 000 km,2 000 cm3,Diesel,42 900 PLN 
2011,190 000 km,3 000 cm3,Diesel,58 900 PLN 
2016,92 000 km,1 998 cm3,Diesel,98 277 PLN 
2019,5 km,1 984 cm3,Benzyna,289 500 PLN 
2017,20 000 km,1 968 cm3,Diesel,171 900 PLN 
2008,241 000 km,2 967 cm3,Diesel,29 900 PLN 
2017,30 500 km,1 968 cm3,Diesel,132 900 PLN 
2007,220 000 km,2 700 cm3,Diesel,32 900 PLN 
2004,120 000 km,1 968 cm3,Diesel,18 500 PLN 
2012,218 000 km,3 000 cm3,Diesel,41 000 PLN 
2017,37 000 km,1 968 cm3,Diesel,129 900 PLN 
2015,109 000 km,2 967 cm3,Diesel,136 000 PLN 
2006,172 410 km,2 400 cm3,Benzyna,27 999 PLN 
2006,223 391 km,1 968 cm3,Diesel,22 900 PLN 
2010,300 000 km,1 986 cm3,Diesel,35 700 PLN 
2006,245 000 km,2 000 cm3,Benzyna,12 950 PLN 
1998,282 000 km,2 400 cm3,Benzyna,7 600 PLN 
2001,300 000 km,Diesel,5 200 PLN ,
2010,250 000 km,3 000 cm3,Diesel,37 500 PLN 
2009,161 060 km,2 967 cm3,Diesel,46 900 PLN 
2019,10 km,2 968 cm3,Diesel,346 785 PLN 
2018,10 km,2 968 cm3,Diesel,327 923 PLN 
2018,10 km,2 967 cm3,Diesel,361 616 PLN 
2018,10 km,1 968 cm3,Diesel,246 878 PLN 
2018,10 km,2 968 cm3,Diesel,310 082 PLN 
2017,24 987 km,2 000 cm3,Diesel,109 548 PLN 
2018,29 814 km,2 000 cm3,Diesel,121 686 PLN 
2004,340 000 km,2 398 cm3,Benzyna,10 900 PLN 
2007,270 000 km,2 000 cm3,Diesel,21 500 PLN 
2011,165 000 km,3 000 cm3,Diesel,34 900 PLN 
2014,155 000 km,1 968 cm3,Diesel,89 999 PLN 
2004,279 000 km,1 998 cm3,Benzyna,10 999 PLN 
2016,169 000 km,1 968 cm3,Diesel,98 900 PLN 
2018,8 km,3 000 cm3,Diesel,290 700 PLN 
2018,8 km,3 000 cm3,Diesel,290 700 PLN 
2018,8 km,3 000 cm3,Diesel,324 250 PLN 
2014,131 000 km,2 995 cm3,Benzyna,89 500 PLN 
2018,8 km,3 000 cm3,Diesel,290 700 PLN 
2018,8 km,3 000 cm3,Diesel,290 700 PLN 
2018,8 km,3 000 cm3,Diesel,290 700 PLN 
2018,6 km,2 000 cm3,Diesel,181 700 PLN 
2018,6 km,2 000 cm3,Diesel,181 700 PLN 
2018,6 km,2 000 cm3,Diesel,181 700 PLN 
2018,6 km,2 000 cm3,Diesel,181 700 PLN 
2018,6 km,2 000 cm3,Diesel,181 700 PLN 
2018,6 km,2 000 cm3,Diesel,183 000 PLN 
1999,240 000 km,2 400 cm3,Benzyna,8 900 PLN 
2016,189 000 km,2 000 cm3,Diesel,126 999 PLN 
2019,10 km,2 000 cm3,Diesel,220 378 PLN 
2018,19 800 km,1 968 cm3,Diesel,125 000 PLN 
2010,216 000 km,1 968 cm3,Diesel,35 900 PLN 
2012,63 000 km,2 000 cm3,Benzyna,85 900 PLN 
2005,231 200 km,2 393 cm3,Benzyna,16 700 PLN 
2015,57 000 km,3 000 cm3,Benzyna,91 000 PLN 
2014,220 690 km,1 968 cm3,Diesel,84 747 PLN 
2006,211 595 km,2 700 cm3,Diesel,10 500 PLN 
2011,168 900 km,2 993 cm3,Diesel,74 700 PLN 
2018,8 000 km,3 000 cm3,Diesel,399 900 PLN 
2018,20 234 km,1 968 cm3,Diesel,149 900 PLN 
2017,44 327 km,2 967 cm3,Diesel,243 540 PLN 
2014,96 800 km,2 995 cm3,Benzyna,35 999 PLN 
2000,230 000 km,2 700 cm3,Benzyna+LPG,15 000 PLN 
2016,61 000 km,2 967 cm3,Diesel,179 457 PLN 
2018,7 000 km,2 967 cm3,Diesel,353 010 PLN 
2018,11 768 km,2 967 cm3,Diesel,399 000 PLN 
